weather_condition,temperature,distance,traffic_condition,time_of_day,chosen_mode,reasoning,serialized_query,serialized_with_label
heavy rain,24°C warm,0.5 km,heavy traffic,07:00 rush hour,car,"Car is the only practical option due to heavy rain, despite rush hour.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is car.
clear sky,12°C cold,2 km,moderate traffic,21:00 night,bike,Bike is the most practical and quick option for a 2km trip in suitable weather.,Weather is clear sky with a temperature of 12°C cold. Route distance is 2 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 12°C cold. Route distance is 2 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is bike.
strong wind,30°C hot,10 km,heavy traffic,21:00 night,motorbike,"Motorbike is efficient for 10km in heavy traffic, and strong wind is not an exclusion.",Weather is strong wind with a temperature of 30°C hot. Route distance is 10 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is strong wind with a temperature of 30°C hot. Route distance is 10 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is motorbike.
light drizzle,38°C extreme heat,2 km,gridlock,00:00 late night,motorbike,Motorbike is highly effective for navigating 2km in gridlock during light drizzle.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 00:00 late night.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 00:00 late night. Transport mode is motorbike.
light rain,24°C warm,3 km,heavy traffic,21:00 night,motorbike,"Motorbike is efficient for 3km in heavy traffic, and light rain is not an exclusion.",Weather is light rain with a temperature of 24°C warm. Route distance is 3 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is light rain with a temperature of 24°C warm. Route distance is 3 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is motorbike.
strong wind,24°C warm,0.5 km,gridlock,21:00 night,bike,"Bike is the most practical and quick option for a 0.5km trip in suitable weather, even with strong wind.",Weather is strong wind with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is strong wind with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is bike.
light drizzle,12°C cold,2 km,gridlock,09:00 morning,motorbike,Motorbike is highly effective for navigating 2km in gridlock during light drizzle.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 2 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 2 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is motorbike.
fog,35°C very hot,5 km,light traffic,12:00 midday,motorbike,"Motorbike is practical for 5km in hot weather and light traffic, offering speed and flexibility.",Weather is fog with a temperature of 35°C very hot. Route distance is 5 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 35°C very hot. Route distance is 5 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,18°C mild,2 km,no traffic,09:00 morning,bike,Bike is ideal for a short 2km trip in mild weather with no traffic.,Weather is overcast with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 09:00 morning. Transport mode is bike.
clear sky,30°C hot,3 km,heavy traffic,00:00 late night,motorbike,"Motorbike is agile for 3km in heavy traffic, especially late at night when transit might be limited.",Weather is clear sky with a temperature of 30°C hot. Route distance is 3 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is clear sky with a temperature of 30°C hot. Route distance is 3 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
storm,35°C very hot,15 km,heavy traffic,12:00 midday,car,"Car is the safest and most practical choice for travel during a storm, regardless of distance or traffic.",Weather is storm with a temperature of 35°C very hot. Route distance is 15 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 35°C very hot. Route distance is 15 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is car.
light drizzle,38°C extreme heat,2 km,gridlock,07:00 rush hour,motorbike,"Motorbike is best for navigating gridlock during rush hour, and light drizzle is manageable while extreme heat rules out bike and transit.",Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
strong wind,35°C very hot,15 km,gridlock,15:00 afternoon,motorbike,"Motorbike is efficient for 15km in gridlock, and strong wind is not an exclusion like heavy rain or storms.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is motorbike.
clear sky,24°C warm,3 km,gridlock,09:00 morning,motorbike,Motorbike is the most efficient mode for navigating 3km in gridlock traffic.,Weather is clear sky with a temperature of 24°C warm. Route distance is 3 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is clear sky with a temperature of 24°C warm. Route distance is 3 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is motorbike.
storm,30°C hot,2 km,light traffic,12:00 midday,car,"Car is the safest and most practical choice for travel during a storm, even for a short distance.",Weather is storm with a temperature of 30°C hot. Route distance is 2 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 30°C hot. Route distance is 2 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is car.
heavy rain,35°C very hot,0.5 km,light traffic,07:00 rush hour,car,"Car is best for heavy rain, providing shelter for even a very short 0.5km trip.",Weather is heavy rain with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is car.
light drizzle,24°C warm,30 km,no traffic,00:00 late night,motorbike,"Motorbike is suitable for 30km with light drizzle and no traffic, especially late at night.",Weather is light drizzle with a temperature of 24°C warm. Route distance is 30 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is light drizzle with a temperature of 24°C warm. Route distance is 30 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
overcast,18°C mild,15 km,gridlock,15:00 afternoon,motorbike,Motorbike is the most efficient for navigating 15km in gridlock traffic.,Weather is overcast with a temperature of 18°C mild. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 18°C mild. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is motorbike.
fog,30°C hot,2 km,no traffic,00:00 late night,bike,"Bike is practical for a short 2km trip with no traffic, even late at night.",Weather is fog with a temperature of 30°C hot. Route distance is 2 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is fog with a temperature of 30°C hot. Route distance is 2 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is bike.
overcast,38°C extreme heat,30 km,light traffic,07:00 rush hour,motorbike,"Motorbike is suitable for 30km in extreme heat and light traffic, as extreme heat is not an exclusion for this mode.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
storm,35°C very hot,10 km,moderate traffic,09:00 morning,car,Car is the safest and most practical choice for travel during a storm.,Weather is storm with a temperature of 35°C very hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is storm with a temperature of 35°C very hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is car.
overcast,24°C warm,0.5 km,gridlock,18:00 evening rush,motorbike,Motorbike is the most practical for navigating 0.5km in gridlock during rush hour.,Weather is overcast with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 18:00 evening rush.,Weather is overcast with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 18:00 evening rush. Transport mode is motorbike.
storm,24°C warm,1 km,heavy traffic,12:00 midday,car,"Car is the safest and most practical choice for travel during a storm, even for a very short distance.",Weather is storm with a temperature of 24°C warm. Route distance is 1 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 24°C warm. Route distance is 1 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is car.
fog,30°C hot,8 km,moderate traffic,15:00 afternoon,motorbike,"Motorbike is a practical choice for 8km in moderate traffic, with fog not being an exclusion.",Weather is fog with a temperature of 30°C hot. Route distance is 8 km and traffic is moderate traffic. Trip starts at 15:00 afternoon.,Weather is fog with a temperature of 30°C hot. Route distance is 8 km and traffic is moderate traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
fog,30°C hot,30 km,moderate traffic,18:00 evening rush,motorbike,"Motorbike is suitable for 30km in moderate traffic during rush hour, offering flexibility.",Weather is fog with a temperature of 30°C hot. Route distance is 30 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is fog with a temperature of 30°C hot. Route distance is 30 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
heavy rain,18°C mild,0.5 km,no traffic,15:00 afternoon,car,"Car is best for heavy rain, providing shelter for even a very short 0.5km trip.",Weather is heavy rain with a temperature of 18°C mild. Route distance is 0.5 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 0.5 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is car.
heavy rain,38°C extreme heat,8 km,moderate traffic,21:00 night,car,Car is the safest and most practical choice for travel during heavy rain and extreme heat.,Weather is heavy rain with a temperature of 38°C extreme heat. Route distance is 8 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is heavy rain with a temperature of 38°C extreme heat. Route distance is 8 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is car.
storm,38°C extreme heat,1 km,moderate traffic,12:00 midday,car,"Car is the best option for travel during a storm and extreme heat, providing shelter and safety.",Weather is storm with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is car.
clear sky,30°C hot,2 km,heavy traffic,18:00 evening rush,bike,"A 2km trip in clear weather is ideal for biking, offering maneuverability in heavy traffic.",Weather is clear sky with a temperature of 30°C hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is clear sky with a temperature of 30°C hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
fog,12°C cold,10 km,heavy traffic,07:00 rush hour,motorbike,"Motorbike is efficient for 10km in heavy rush hour traffic, and fog does not exclude it.",Weather is fog with a temperature of 12°C cold. Route distance is 10 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is fog with a temperature of 12°C cold. Route distance is 10 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
storm,35°C very hot,20 km,no traffic,00:00 late night,car,"Car is the best option for travel during a storm, especially for 20km with no traffic.",Weather is storm with a temperature of 35°C very hot. Route distance is 20 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is storm with a temperature of 35°C very hot. Route distance is 20 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is car.
clear sky,24°C warm,8 km,light traffic,09:00 morning,motorbike,Motorbike is efficient and convenient for an 8km trip in clear weather with light traffic.,Weather is clear sky with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is clear sky with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
storm,24°C warm,0.5 km,light traffic,07:00 rush hour,car,Car is the safest and most practical choice for any distance during a storm.,Weather is storm with a temperature of 24°C warm. Route distance is 0.5 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 0.5 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is car.
strong wind,38°C extreme heat,2 km,gridlock,15:00 afternoon,motorbike,"Motorbike offers better maneuverability in gridlock traffic for a short distance, despite the extreme heat.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light rain,12°C cold,10 km,moderate traffic,21:00 night,motorbike,"Motorbike is a practical choice for 10km in light rain with moderate traffic, especially at night for convenience.",Weather is light rain with a temperature of 12°C cold. Route distance is 10 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is light rain with a temperature of 12°C cold. Route distance is 10 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is motorbike.
overcast,35°C very hot,1 km,light traffic,15:00 afternoon,bike,"A 1km trip in warm, overcast weather with light traffic is ideal for biking.",Weather is overcast with a temperature of 35°C very hot. Route distance is 1 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 35°C very hot. Route distance is 1 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is bike.
light drizzle,24°C warm,30 km,heavy traffic,18:00 evening rush,transit,"For a 30km trip in heavy rush hour traffic and light drizzle, transit offers a more comfortable and potentially less stressful option.",Weather is light drizzle with a temperature of 24°C warm. Route distance is 30 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 24°C warm. Route distance is 30 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is transit.
light drizzle,18°C mild,15 km,moderate traffic,07:00 rush hour,motorbike,Motorbike is efficient for a 15km commute in light drizzle and moderate rush hour traffic.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 15 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 15 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
strong wind,18°C mild,20 km,moderate traffic,00:00 late night,car,Car provides comfort and safety for a 20km trip late at night with strong wind.,Weather is strong wind with a temperature of 18°C mild. Route distance is 20 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is strong wind with a temperature of 18°C mild. Route distance is 20 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is car.
strong wind,35°C very hot,8 km,heavy traffic,09:00 morning,motorbike,"Motorbike is efficient for navigating 8km in heavy traffic, even with strong wind and very hot weather.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 8 km and traffic is heavy traffic. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 8 km and traffic is heavy traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
overcast,38°C extreme heat,3 km,heavy traffic,15:00 afternoon,motorbike,"Motorbike offers better maneuverability for a 3km trip in heavy traffic, despite the extreme heat.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 3 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 3 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light drizzle,38°C extreme heat,10 km,gridlock,18:00 evening rush,motorbike,"Motorbike is the most practical choice for navigating 10km in gridlock traffic during evening rush, despite the extreme heat and drizzle.",Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is gridlock. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is gridlock. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light rain,18°C mild,1 km,heavy traffic,18:00 evening rush,motorbike,Motorbike is efficient for a short 1km trip in heavy traffic and light rain during rush hour.,Weather is light rain with a temperature of 18°C mild. Route distance is 1 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 18°C mild. Route distance is 1 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
heavy rain,30°C hot,20 km,gridlock,00:00 late night,car,"Car is the best option for travel during heavy rain, providing shelter and safety for 20km.",Weather is heavy rain with a temperature of 30°C hot. Route distance is 20 km and traffic is gridlock. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 20 km and traffic is gridlock. Trip starts at 00:00 late night. Transport mode is car.
strong wind,30°C hot,5 km,light traffic,18:00 evening rush,bike,"A 5km trip in light traffic is suitable for biking, even with strong wind, and avoids rush hour car delays.",Weather is strong wind with a temperature of 30°C hot. Route distance is 5 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is strong wind with a temperature of 30°C hot. Route distance is 5 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
overcast,30°C hot,8 km,light traffic,09:00 morning,motorbike,Motorbike is efficient and convenient for an 8km trip in clear weather with light traffic.,Weather is overcast with a temperature of 30°C hot. Route distance is 8 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 30°C hot. Route distance is 8 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
light rain,18°C mild,2 km,no traffic,21:00 night,motorbike,Motorbike is quick and convenient for a 2km trip in light rain with no traffic at night.,Weather is light rain with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is light rain with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is motorbike.
clear sky,18°C mild,0.5 km,no traffic,18:00 evening rush,bike,"Short distance, mild weather, and no traffic make biking ideal.",Weather is clear sky with a temperature of 18°C mild. Route distance is 0.5 km and traffic is no traffic. Trip starts at 18:00 evening rush.,Weather is clear sky with a temperature of 18°C mild. Route distance is 0.5 km and traffic is no traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
overcast,30°C hot,8 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is efficient for 8km in moderate traffic during rush hour.,Weather is overcast with a temperature of 30°C hot. Route distance is 8 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is overcast with a temperature of 30°C hot. Route distance is 8 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light rain,24°C warm,0.5 km,gridlock,18:00 evening rush,motorbike,Motorbike is best for navigating gridlock over a very short distance in light rain.,Weather is light rain with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 18:00 evening rush. Transport mode is motorbike.
storm,12°C cold,1 km,no traffic,09:00 morning,car,Car is the safest and most practical option during a storm.,Weather is storm with a temperature of 12°C cold. Route distance is 1 km and traffic is no traffic. Trip starts at 09:00 morning.,Weather is storm with a temperature of 12°C cold. Route distance is 1 km and traffic is no traffic. Trip starts at 09:00 morning. Transport mode is car.
fog,24°C warm,3 km,moderate traffic,07:00 rush hour,bike,"Short distance in fog is manageable by bike, avoiding rush hour traffic.",Weather is fog with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is fog with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is bike.
storm,30°C hot,30 km,moderate traffic,12:00 midday,car,Car is the only practical option for a 30km trip during a storm.,Weather is storm with a temperature of 30°C hot. Route distance is 30 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 30°C hot. Route distance is 30 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is car.
storm,24°C warm,15 km,heavy traffic,18:00 evening rush,car,"Car is the safest and most practical option during a storm, despite heavy traffic.",Weather is storm with a temperature of 24°C warm. Route distance is 15 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is storm with a temperature of 24°C warm. Route distance is 15 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is car.
fog,12°C cold,20 km,no traffic,15:00 afternoon,motorbike,"Motorbike is efficient for 20km with no traffic, and fog is not an exclusion.",Weather is fog with a temperature of 12°C cold. Route distance is 20 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is fog with a temperature of 12°C cold. Route distance is 20 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
heavy rain,30°C hot,15 km,moderate traffic,18:00 evening rush,car,"Car is the best option for travel during heavy rain, despite rush hour.",Weather is heavy rain with a temperature of 30°C hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is car.
strong wind,35°C very hot,15 km,light traffic,09:00 morning,motorbike,"Motorbike is efficient for 15km in light traffic, and strong wind is not an exclusion.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 15 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 15 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
strong wind,24°C warm,8 km,light traffic,12:00 midday,motorbike,"Motorbike is efficient for 8km in light traffic, even with strong wind.",Weather is strong wind with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is strong wind with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,38°C extreme heat,2 km,gridlock,09:00 morning,car,Car provides comfort and protection from extreme heat and gridlock.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is car.
overcast,30°C hot,15 km,gridlock,07:00 rush hour,motorbike,Motorbike is best for navigating gridlock during rush hour over 15km.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
strong wind,18°C mild,2 km,no traffic,15:00 afternoon,bike,"Short distance, mild weather, and no traffic make biking ideal.",Weather is strong wind with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is bike.
light drizzle,30°C hot,8 km,gridlock,07:00 rush hour,motorbike,Motorbike is best for navigating gridlock during rush hour in light drizzle.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 8 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 8 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
heavy rain,24°C warm,3 km,heavy traffic,00:00 late night,car,"Car is the safest and most practical option during heavy rain, even late night.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 3 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 3 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is car.
clear sky,30°C hot,3 km,gridlock,15:00 afternoon,bike,"Short distance, clear weather, and ability to navigate gridlock make biking practical.",Weather is clear sky with a temperature of 30°C hot. Route distance is 3 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is clear sky with a temperature of 30°C hot. Route distance is 3 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is bike.
overcast,18°C mild,2 km,gridlock,18:00 evening rush,bike,"Short distance, mild weather, and ability to navigate gridlock make biking practical.",Weather is overcast with a temperature of 18°C mild. Route distance is 2 km and traffic is gridlock. Trip starts at 18:00 evening rush.,Weather is overcast with a temperature of 18°C mild. Route distance is 2 km and traffic is gridlock. Trip starts at 18:00 evening rush. Transport mode is bike.
light drizzle,12°C cold,15 km,moderate traffic,00:00 late night,motorbike,Motorbike is efficient for 15km in moderate traffic during light drizzle.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 15 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 15 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
heavy rain,30°C hot,0.5 km,moderate traffic,07:00 rush hour,car,Car is the safest and most practical option for any distance during heavy rain.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is car.
strong wind,35°C very hot,10 km,moderate traffic,15:00 afternoon,motorbike,"Motorbike is efficient for 10km in moderate traffic, and the weather is not prohibitive.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
fog,24°C warm,2 km,no traffic,21:00 night,bike,Bike is practical for a short 2km trip with no traffic in mild weather.,Weather is fog with a temperature of 24°C warm. Route distance is 2 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is fog with a temperature of 24°C warm. Route distance is 2 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is bike.
light rain,38°C extreme heat,3 km,heavy traffic,18:00 evening rush,motorbike,"Motorbike is agile in heavy traffic and light rain, suitable for a 3km distance.",Weather is light rain with a temperature of 38°C extreme heat. Route distance is 3 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 38°C extreme heat. Route distance is 3 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
fog,24°C warm,10 km,moderate traffic,18:00 evening rush,motorbike,"Motorbike is efficient for 10km in moderate rush hour traffic, and fog is manageable.",Weather is fog with a temperature of 24°C warm. Route distance is 10 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is fog with a temperature of 24°C warm. Route distance is 10 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
storm,38°C extreme heat,10 km,heavy traffic,12:00 midday,car,"Car is the safest and most comfortable option during a storm, especially with heavy traffic.",Weather is storm with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is car.
strong wind,30°C hot,20 km,no traffic,07:00 rush hour,motorbike,"Motorbike is efficient for 20km with no traffic, even during rush hour, and strong wind is manageable.",Weather is strong wind with a temperature of 30°C hot. Route distance is 20 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 30°C hot. Route distance is 20 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
